id;start_date;end_date;language
1;2020-10-12T19:08:47;2020-10-12T16:59:02;SPANISH
2;2020-10-11T23:58:58;2020-10-12T19:03:23;SPANISH
3;2020-10-12T14:54:17;2020-10-12T01:28:26;FRENCH
4;2020-10-12T06:11:48;2020-10-12T17:43:14;FRENCH
5;2020-10-12T15:42:06;2020-10-12T20:29:05;FRENCH
6;2020-10-12T09:34:27;2020-10-12T21:42:41;FRENCH
7;2020-10-12T11:19:47;2020-10-12T05:10:38;FRENCH
8;2020-10-12T10:16:00;2020-10-12T20:32:08;SPANISH
9;2020-10-12T08:57:09;2020-10-12T05:38:32;SPANISH
10;2020-10-12T17:09:13;2020-10-12T03:43:43;SPANISH
